arch,N,delay,AvgRet,StdRet,seed
mlp,1,5,3.653056383132935,0.20738214254379272,0
mlp,1,5,3.6633996963500977,0.21030165255069733,1
mlp,1,5,3.667049169540405,0.2191973328590393,2
mlp,1,5,3.6643767356872563,0.21014952659606934,3
mlp,1,5,3.6712033748626713,0.2180073708295822,4
mlp,1,10,2.8177499771118164,0.19286605715751648,0
mlp,1,10,2.8208489418029785,0.20380252599716187,1
mlp,1,10,2.816962242126465,0.19748470187187195,2
mlp,1,10,2.831547737121582,0.2032158225774765,3
mlp,1,10,2.8173718452453613,0.19889213144779205,4
mlp,1,15,2.2820346355438232,0.19500453770160675,0
mlp,1,15,2.298605442047119,0.19099505245685575,1
mlp,1,15,2.294936180114746,0.1843181550502777,2
mlp,1,15,2.2841784954071045,0.18820853531360626,3
mlp,1,15,2.2871060371398926,0.1885286569595337,4
mlp,1,20,1.886107802391052,0.1882624328136444,0
mlp,1,20,1.887542724609375,0.19204026460647586,1
mlp,1,20,1.8703768253326416,0.17700546979904175,2
mlp,1,20,1.8851513862609863,0.18577638268470764,3
mlp,1,20,1.8911811113357544,0.1929137408733368,4
mlp,1,25,1.5727956295013428,0.17795006930828094,0
mlp,1,25,1.5630995035171509,0.1844463795423508,1
mlp,1,25,1.5636813640594482,0.19361278414726255,2
mlp,1,25,1.555686116218567,0.1883978545665741,3
mlp,1,25,1.5483611822128296,0.1861107796430588,4
mlp,1,30,1.3356165885925293,0.18380366265773773,0
mlp,1,30,1.3171224594116209,0.1960740834474564,1
mlp,1,30,1.2947943210601809,0.1805974245071411,2
mlp,1,30,1.3338514566421509,0.19020062685012815,3
mlp,1,30,1.333399534225464,0.18692973256111145,4
mlp,1,35,1.10880446434021,0.18375995755195615,0
mlp,1,35,1.1077377796173096,0.18347214162349698,1
mlp,1,35,1.1263550519943235,0.19268926978111267,2
mlp,1,35,1.1218562126159668,0.17864881455898285,3
mlp,1,35,1.128911375999451,0.18723592162132266,4
mlp,1,40,0.9729260206222534,0.1858041137456894,0
mlp,1,40,0.9233518838882446,0.18587419390678409,1
mlp,1,40,0.8349677324295044,0.19366006553173065,2
mlp,1,40,0.9784213304519652,0.1833535581827164,3
mlp,1,40,0.6524573564529419,0.1707681268453598,4
mlp,1,45,0.818455696105957,0.2015982121229172,0
mlp,1,45,0.8208643198013306,0.19530493021011355,1
mlp,1,45,0.8510379791259766,0.18452487885952,2
mlp,1,45,0.8607721328735352,0.19201773405075076,3
mlp,1,45,0.8596417903900146,0.18246036767959595,4
mlp,1,50,0.6410496234893799,0.1968869119882584,0
mlp,1,50,0.6819522380828857,0.19463083148002625,1
mlp,1,50,0.7243896722793579,0.1883171796798706,2
mlp,1,50,0.2998306155204773,0.1471593976020813,3
mlp,1,50,0.7573118805885315,0.19830942153930664,4
ds,2,5,2.5812358856201167,0.13833098113536835,0
ds,2,5,2.579052209854126,0.13348977267742154,1
ds,2,5,2.5761871337890625,0.13563746213912964,2
ds,2,5,2.56204891204834,0.12871913611888885,3
ds,2,5,2.581084728240967,0.1267167627811432,4
ds,2,10,2.0124638080596924,0.12834477424621582,0
ds,2,10,2.0197315216064453,0.12935319542884827,1
ds,2,10,2.029320240020752,0.13105668127536774,2
ds,2,10,2.0129766464233403,0.12601487338542938,3
ds,2,10,2.0303072929382324,0.127336323261261,4
ds,2,15,1.6714913845062256,0.12795595824718475,0
ds,2,15,1.6128811836242676,0.12640133500099182,1
ds,2,15,1.6785297393798828,0.12581613659858704,2
ds,2,15,1.6756781339645386,0.12283171713352205,3
ds,2,15,1.66189444065094,0.1280723661184311,4
ds,2,20,1.4136128425598145,0.12371395528316498,0
ds,2,20,1.4175529479980469,0.13430553674697876,1
ds,2,20,1.3743617534637451,0.13377328217029572,2
ds,2,20,1.4134812355041504,0.12172871828079225,3
ds,2,20,1.421838402748108,0.12998206913471222,4
ds,2,25,1.2207281589508057,0.12945497035980225,0
ds,2,25,1.177922248840332,0.1333896517753601,1
ds,2,25,1.2092492580413818,0.13388273119926453,2
ds,2,25,1.2036243677139282,0.1294906586408615,3
ds,2,25,1.1789653301239014,0.1313503235578537,4
ds,2,30,1.0340743064880369,0.12684732675552368,0
ds,2,30,1.0017178058624268,0.1318223625421524,1
ds,2,30,1.035688400268555,0.13492277264595032,2
ds,2,30,1.0632240772247314,0.12230128794908525,3
ds,2,30,1.0314908027648926,0.13131491839885712,4
ds,2,35,0.8932227492332458,0.1261906623840332,0
ds,2,35,0.9151506423950196,0.13170437514781952,1
ds,2,35,0.9404792785644532,0.1297825276851654,2
ds,2,35,0.005809810943901539,0.014313945546746254,3
ds,2,35,0.9112446308135986,0.12401558458805086,4
ds,2,40,0.7954216003417969,0.13161583244800568,0
ds,2,40,0.7107771635055542,0.14375723898410794,1
ds,2,40,0.6718065738677979,0.1374366581439972,2
ds,2,40,0.8371300101280212,0.1313081532716751,3
ds,2,40,0.5066894888877869,0.12239283323287965,4
ds,2,45,0.5980902910232544,0.1259549856185913,0
ds,2,45,0.2613590359687805,0.11768569052219392,1
ds,2,45,0.6788733005523682,0.13760747015476227,2
ds,2,45,0.2949380874633789,0.1443627029657364,3
ds,2,45,0.7253694534301758,0.1309126317501068,4
ds,2,50,0.5567951202392578,0.12159842997789384,0
ds,2,50,0.001594857545569539,0.006306517403572798,1
ds,2,50,0.7009645700454712,0.12132926285266875,2
ds,2,50,0.6455448865890503,0.13814294338226318,3
ds,2,50,0.6987534761428833,0.1246451884508133,4
ds,4,5,1.9167453050613403,0.09051599353551863,0
ds,4,5,1.8905885219573968,0.09223346412181854,1
ds,4,5,1.9082365036010744,0.09249027818441392,2
ds,4,5,1.899680256843567,0.08671409636735916,3
ds,4,5,1.9065046310424805,0.0923832580447197,4
ds,4,10,1.4286566972732544,0.08262120932340622,0
ds,4,10,1.4985159635543823,0.08555871248245239,1
ds,4,10,1.4140305519104004,0.07934602349996568,2
ds,4,10,1.48857319355011,0.08479655534029007,3
ds,4,10,1.5277462005615234,0.0920403003692627,4
ds,4,15,1.2973688840866089,0.0892745852470398,0
ds,4,15,1.2618942260742188,0.09067725390195848,1
ds,4,15,1.2869088649749756,0.08816897869110107,2
ds,4,15,1.243332028388977,0.08345351368188858,3
ds,4,15,1.2505781650543213,0.08723898231983185,4
ds,4,20,1.1086523532867432,0.08473585546016693,0
ds,4,20,1.1128668785095217,0.09169773012399672,1
ds,4,20,1.1293468475341797,0.10194143652915956,2
ds,4,20,1.1296844482421875,0.0952070727944374,3
ds,4,20,1.0713459253311155,0.08792352676391603,4
ds,4,25,0.9960581064224244,0.092249296605587,0
ds,4,25,1.0132297277450562,0.08971109986305237,1
ds,4,25,1.0157541036605835,0.08839437365531921,2
ds,4,25,0.968917727470398,0.08926667273044586,3
ds,4,25,1.0129780769348145,0.09935317933559418,4
ds,4,30,0.8404822349548341,0.09587330371141434,0
ds,4,30,0.8749514222145081,0.08667942136526108,1
ds,4,30,0.8086463212966919,0.10969776660203934,2
ds,4,30,0.8386788964271545,0.08109834790229797,3
ds,4,30,0.8436925411224365,0.08713502436876297,4
ds,4,35,0.7971412539482117,0.10357918590307236,0
ds,4,35,0.7680816650390625,0.10252686589956284,1
ds,4,35,0.813673734664917,0.09718237072229384,2
ds,4,35,0.4630403816699982,0.08547984808683395,3
ds,4,35,0.7597848773002625,0.10493592172861099,4
ds,4,40,0.5871551036834717,0.09864234179258348,0
ds,4,40,0.7385110855102539,0.08970382064580917,1
ds,4,40,0.7177604436874391,0.09544317424297333,2
ds,4,40,0.7142376899719238,0.08742766827344894,3
ds,4,40,0.7371466159820557,0.08579327911138535,4
ds,4,45,0.6620128154754639,0.0921689346432686,0
ds,4,45,0.4535135328769684,0.10924973338842392,1
ds,4,45,0.533736526966095,0.08767415583133698,2
ds,4,45,0.5386013984680176,0.09812522679567336,3
ds,4,45,0.5956878066062927,0.09583094716072084,4
ds,4,50,0.5903080105781555,0.08645075559616089,0
ds,4,50,0.1927291750907898,0.07444058358669281,1
ds,4,50,0.6527325510978699,0.08832307904958725,2
ds,4,50,0.07290085405111313,0.10669440776109697,3
ds,4,50,0.566419243812561,0.08113390952348709,4
ds,8,5,1.4638664722442627,0.05944086983799935,0
ds,8,5,1.4670859575271606,0.06851780414581299,1
ds,8,5,1.444967269897461,0.05737894400954247,2
ds,8,5,1.4611823558807373,0.06818892061710358,3
ds,8,5,1.4602320194244385,0.058114472776651376,4
ds,8,10,1.111100435256958,0.06245079636573792,0
ds,8,10,1.180624008178711,0.05703213065862656,1
ds,8,10,1.208751916885376,0.06910297274589539,2
ds,8,10,1.2179663181304932,0.0629197433590889,3
ds,8,10,1.1234245300292969,0.0640796571969986,4
ds,8,15,1.0151259899139404,0.05746206268668175,0
ds,8,15,1.0434367656707764,0.0588102787733078,1
ds,8,15,1.0342648029327393,0.061078552156686776,2
ds,8,15,1.0704460144042969,0.0587582029402256,3
ds,8,15,1.0344548225402832,0.05519559979438782,4
ds,8,20,0.9624933004379272,0.05633268877863884,0
ds,8,20,0.9514698386192322,0.06353727728128432,1
ds,8,20,0.9430587291717528,0.07084224373102188,2
ds,8,20,0.9607319831848145,0.06329609453678131,3
ds,8,20,0.9773179292678832,0.05996239930391312,4
ds,8,25,0.8577691316604614,0.06018085777759553,0
ds,8,25,0.865139365196228,0.05749703198671341,1
ds,8,25,0.8869601488113403,0.05461714416742325,2
ds,8,25,0.9006763696670532,0.06305347383022307,3
ds,8,25,0.8793331384658813,0.06228720024228096,4
ds,8,30,0.8253697156906128,0.06401477754116057,0
ds,8,30,0.8358726501464844,0.057435326278209686,1
ds,8,30,0.6940875649452211,0.07219181954860687,2
ds,8,30,0.7571862936019897,0.06643154472112656,3
ds,8,30,0.7542660236358643,0.06165442243218424,4
ds,8,35,0.7403829097747803,0.06950195878744125,0
ds,8,35,0.7884334921836853,0.058364942669868476,1
ds,8,35,0.7532864809036255,0.07120920717716217,2
ds,8,35,0.7830169796943665,0.06043741479516029,3
ds,8,35,0.7592617273330688,0.0590701587498188,4
ds,8,40,0.7209958434104919,0.04972096160054207,0
ds,8,40,0.7490329742431641,0.05980183556675911,1
ds,8,40,0.6593692302703857,0.06501627713441849,2
ds,8,40,0.6240488290786743,0.07175368070602417,3
ds,8,40,0.6046178340911865,0.07074393332004547,4
ds,8,45,0.03579244017601013,0.015877950936555862,0
ds,8,45,0.614382803440094,0.0562950111925602,1
ds,8,45,0.6878877878189087,0.06309614330530168,2
ds,8,45,0.699756383895874,0.06077477708458901,3
ds,8,45,0.6575136780738831,0.06687180697917937,4
ds,8,50,0.5371451377868652,0.06958641856908797,0
ds,8,50,0.6446866989135742,0.06611740589141846,1
ds,8,50,-0.00888260453939438,0.0707838237285614,2
ds,8,50,0.5461741685867311,0.06996674835681915,3
ds,8,50,0.5641215443611145,0.05559557676315308,4
ds,16,5,1.1880574226379397,0.048248842358589165,0
ds,16,5,1.168652057647705,0.04049598425626755,1
ds,16,5,1.1941723823547363,0.04271920397877693,2
ds,16,5,1.170996904373169,0.044696521013975136,3
ds,16,5,1.18348228931427,0.04365644976496697,4
ds,16,10,1.0234134197235107,0.04512815177440643,0
ds,16,10,1.0202820301055908,0.04671623557806015,1
ds,16,10,0.9982706308364868,0.04584859684109688,2
ds,16,10,0.8797195553779602,0.040145955979824066,3
ds,16,10,1.0042353868484497,0.04010456055402757,4
ds,16,15,0.9140751361846924,0.04575104638934136,0
ds,16,15,0.9028419256210328,0.03597457334399223,1
ds,16,15,0.8910863995552063,0.03889052197337151,2
ds,16,15,0.9357309937477112,0.03970203921198845,3
ds,16,15,0.9416260719299316,0.04925338923931122,4
ds,16,20,0.8714114427566528,0.04810013249516487,0
ds,16,20,0.8735176324844359,0.049838364124298096,1
ds,16,20,0.7880860567092896,0.045671772211790085,2
ds,16,20,0.8936302065849304,0.04160862788558006,3
ds,16,20,0.88029944896698,0.0442592054605484,4
ds,16,25,0.8646243214607239,0.039034061133861535,0
ds,16,25,0.8260316848754883,0.05046403780579567,1
ds,16,25,0.8509877920150757,0.04122280701994896,2
ds,16,25,0.8447045087814331,0.040059201419353485,3
ds,16,25,0.7968780398368835,0.046816952526569366,4
ds,16,30,0.8292350769042969,0.04569631442427635,0
ds,16,30,0.7359620332717896,0.05186086148023605,1
ds,16,30,0.6132209897041321,0.0430917851626873,2
ds,16,30,0.8215327858924866,0.04337535798549652,3
ds,16,30,0.7316912412643433,0.05397884175181389,4
ds,16,35,0.6556082963943481,0.043980225920677185,0
ds,16,35,0.6827849745750427,0.046246185898780816,1
ds,16,35,0.7913178205490112,0.03993375971913338,2
ds,16,35,0.528826892375946,0.03946550935506821,3
ds,16,35,0.6877765655517578,0.058795429766178124,4
ds,16,40,0.3268306255340576,0.05335970968008042,0
ds,16,40,0.6856845021247864,0.03930078074336052,1
ds,16,40,0.7510234117507935,0.04168032854795456,2
ds,16,40,0.7287518978118896,0.05017991364002228,3
ds,16,40,0.7098464965820312,0.04891246184706688,4
ds,16,45,0.701645016670227,0.03784482181072235,0
ds,16,45,0.4482672214508057,0.050798602402210236,1
ds,16,45,0.7115272283554077,0.04607846587896347,2
ds,16,45,0.1445123702287674,0.017543094232678413,3
ds,16,45,0.701863169670105,0.03660255298018456,4
ds,16,50,0.4811526834964752,0.04974625632166863,0
ds,16,50,0.6739442944526672,0.044580020010471344,1
ds,16,50,0.6639094352722168,0.04114928469061852,2
ds,16,50,0.5473027229309082,0.04618154466152191,3
ds,16,50,0.5199091434478761,0.0468103252351284,4
ds,32,5,1.0147788524627686,0.028734195977449417,0
ds,32,5,1.024319052696228,0.02798299118876457,1
ds,32,5,1.0172526836395264,0.02737481892108917,2
ds,32,5,1.012251615524292,0.030503764748573307,3
ds,32,5,1.0097978115081787,0.027393463999032967,4
ds,32,10,0.8707152605056763,0.031602144241333015,0
ds,32,10,0.8988966345787048,0.029342357069253918,1
ds,32,10,0.89268958568573,0.03867127001285553,2
ds,32,10,0.8762668967247009,0.04244978353381157,3
ds,32,10,0.8745869994163513,0.027983743697404858,4
ds,32,15,0.8490818738937378,0.02957310900092125,0
ds,32,15,0.8547479510307312,0.03177514672279358,1
ds,32,15,0.8591875433921814,0.0361478216946125,2
ds,32,15,0.8325799703598022,0.03783708810806274,3
ds,32,15,0.8147016167640686,0.034433208405971534,4
ds,32,20,0.8163733482360841,0.04484803229570389,0
ds,32,20,0.8427147865295409,0.030734326690435413,1
ds,32,20,0.873907208442688,0.029637804254889488,2
ds,32,20,0.8592603206634521,0.02932924404740334,3
ds,32,20,0.7648540735244751,0.036154836416244514,4
ds,32,25,0.7596507072448729,0.03175805136561394,0
ds,32,25,0.851009726524353,0.026524648070335388,1
ds,32,25,0.8382565975189209,0.03493596985936165,2
ds,32,25,0.000167984442668967,0.0009732709149830043,3
ds,32,25,0.8314761519432068,0.03499353677034378,4
ds,32,30,0.6713086366653442,0.04301239922642708,0
ds,32,30,0.6579880714416504,0.03256160393357277,1
ds,32,30,0.6964179277420044,0.0363486111164093,2
ds,32,30,0.8257442116737366,0.03210704401135445,3
ds,32,30,0.8065111637115479,0.027479887008666992,4
ds,32,35,0.6833417415618896,0.02529677376151085,0
ds,32,35,0.7786674499511719,0.02992543764412403,1
ds,32,35,0.6446413993835449,0.032244905829429626,2
ds,32,35,0.5141395330429077,0.0319262258708477,3
ds,32,35,0.6952956914901733,0.0294753760099411,4
ds,32,40,0.4282856285572052,0.032165780663490295,0
ds,32,40,0.6424317359924316,0.03420841693878174,1
ds,32,40,0.5780032873153687,0.03025539591908455,2
ds,32,40,0.7635670304298401,0.03734558075666428,3
ds,32,40,0.7272779941558838,0.03219981864094733,4
ds,32,45,0.714070200920105,0.028480861335992813,0
ds,32,45,0.6546812057495117,0.0235049519687891,1
ds,32,45,0.4493844509124756,0.03717705234885217,2
ds,32,45,0.3225556015968323,0.03360223025083542,3
ds,32,45,0.6912332773208618,0.02759966254234314,4
ds,32,50,0.29495474696159363,0.027246009558439255,0
ds,32,50,-0.002488176105543971,0.03096012771129608,1
ds,32,50,0.014441281557083132,0.00656196940690279,2
ds,32,50,0.4797653555870056,0.028952606022357937,3
ds,32,50,0.6297953128814697,0.025016004219651226,4
